ID;PLZ;REGSCHL;ORT;ORTSTEIL;STAND
7568;"33129";"05774020";"Delbrück";"Steinhorst";
7569;"33129";"05774020";"Delbrück";"Westenholz";
7497;"33142";"05774016";"Büren";"Ahden";
7498;"33142";"05774016";"Büren";"Barkhausen";
7499;"33142";"05774016";"Büren";"Brenken";
7500;"33142";"05774016";"Büren";"Büren";
7501;"33142";"05774016";"Büren";"Eickhoff";
7502;"33142";"05774016";"Büren";"Harth";
7503;"33142";"05774016";"Büren";"Hegensdorf";
7504;"33142";"05774016";"Büren";"Siddinghausen";
7505;"33142";"05774016";"Büren";"Steinhausen";
7506;"33142";"05774016";"Büren";"Weiberg";
7507;"33142";"05774016";"Büren";"Weine";
7508;"33142";"05774016";"Büren";"Wewelsburg";
11567;"33154";"05774032";"Paderborn";"Wewer";
12082;"33154";"05774036";"Salzkotten";"Mantinghausen";
12083;"33154";"05774036";"Salzkotten";"Niederntudorf";
12084;"33154";"05774036";"Salzkotten";"Oberntudorf";
12085;"33154";"05774036";"Salzkotten";"Salzkotten";
12086;"33154";"05774036";"Salzkotten";"Scharmede";
12087;"33154";"05774036";"Salzkotten";"Schwelle";
12088;"33154";"05774036";"Salzkotten";"Thüle";
12089;"33154";"05774036";"Salzkotten";"Upsprunge";
12090;"33154";"05774036";"Salzkotten";"Verlar";
12091;"33154";"05774036";"Salzkotten";"Verne";
9258;"33161";"05774024";"Hövelhof";"Espeln";
9259;"33161";"05774024";"Hövelhof";"Hövelhof";
